QUESTION,BT LEVEL
Explain  THREE  (3)  benefits   of  JDBC  pooling  m  the  context  of  database connection.,Comprehension
Discuss TWO (2) benefits of Java Servlets in web applications.,Comprehension
"Appraise the URL Rewriting, Hidden Form Field and Cookies methods which are supported by the technology.",Evaluation
AJAX is a technology that is being widely used in web applications for faster response time. Explain the necessary steps to implementing an AJAX application.,Application
Describe about application and web servers.,Knowledge
"MVC (Model View Controller) leads to low coupling"". Justify.",Evaluation
"Using appropriate examples, discuss a  situation  in which custom tags would be appropriate to use. ",Application
The impact of using JSTL in software development can significantly reduce its development time. Prove that there is some truth in the statement.,Evaluation
Discuss in terms of implementation how to restrict resources such as web components and Enterprise Java Bean (EJB} components for use to only authorized users. ,Application
Discuss the effectiveness of POST and GET methods in respect of flexibility and security.,Analysis
JSP Technology is meant to replace Servlet Technology. Justify  to  what extent the statement is true.,Evaluation
Explain the reasons of using application servers to deploy web applications.,Comprehension
Explain why Servlet technology is better than the Common Gateway Interface CGI.,Comprehension
"Using an appropriate example, discuss how MVC can lead to a good design of a particular web application.",Comprehension
Discuss why web developers or programmers would prefer to use Expression Language (EL) compared to other methods in JSP for displaying dynamic content in web browsers.,Analysis
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application
Discuss a security framework for the proposed application.,Synthesis
Discuss TWO (2) web application frameworks that are suitable to be used in the proposed application.,Synthesis
Suggest a possible Java Web architecture(s) for the proposed application based on the case study.,Synthesis
"Popular search engines such as Google, Yahoo and others are used to search information on the web based on user defined keywords. Determine and justify the appropriate HTTP method that should be deployed by those search engines.",Evaluation
Analyze the roles of web container or servlet container in a web server in the context of request response model.,Analysis
Explain the impact of 'connection keep-alive' or persistence connection in the context of request response model on performance of sending response to clients.,Comprehension
"Using an appropriate example, explain how static data can be shared effectively among several web resources.",Comprehension
Critically  evaluate the JDBC  and pooling  method  in the context of database connections.,Evaluation
"Using an appropriate example, explain how session listeners can be used in a web application.",Application
HTTP is a stateless protocol. Justify.,Evaluation
Explain the relationship between HTTP GET method and URL Rewriting in the context of session management.,Comprehension
Explain how you would  implement  delete schedule functionality in effective manner.  ,Comprehension
"Using the data shown in Table 1, generate some frequent item sets.",Application
"Interpret the relationship found between these item sets in terms of Support, Lift and Confidence.",Comprehension
Comment on the validity of your answer.,Evaluation
Explain with appropriate examples how taxonomies would help analysis of items in market basket analysis.,Application
Briefly discuss why the emergence of the data warehouse phenomenon is causing such interest in the business world.,Comprehension
Contrast TWO (2) differences between a data mart and a data warehouse.,Analysis
Recommend appropriate data warehouse architecture for the company and illustrate it with a diagram.,Synthesis
Provide some justifications for the data warehouse architecture that you have chosen in Q2 (a).,Evaluation
